/home/arise/Desktop/web_design/simulator.py:13: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
🚀 Simulator running — publishing every 5s...

📡 [2026-04-18T02:59:47.015775] Published: {'temperature': 28.36, 'humidity': 58.07, 'co2': 454, 'ch4': 6, 'pressure': 1012, 'light': 850}
📡 [2026-04-18T03:28:32.360109] Published: {'temperature': 28.6, 'humidity': 62.98, 'co2': 1061, 'ch4': 8, 'pressure': 1015, 'light': 582}
📡 [2026-04-18T03:28:37.360579] Published: {'temperature': 28.85, 'humidity': 82.3, 'co2': 560, 'ch4': 3, 'pressure': 1006, 'light': 726}
📡 [2026-04-18T03:28:42.360931] Published: {'temperature': 24.8, 'humidity': 82.02, 'co2': 940, 'ch4': 7, 'pressure': 1003, 'light': 285}
📡 [2026-04-18T03:28:47.361592] Published: {'temperature': 28.77, 'humidity': 52.7, 'co2': 561, 'ch4': 9, 'pressure': 1011, 'light': 208}
📡 [2026-04-18T03:28:52.362794] Published: {'temperature': 25.28, 'humidity': 69.75, 'co2': 629, 'ch4': 3, 'pressure': 998, 'light': 823}
📡 [2026-04-18T03:28:57.363369] Published: {'temperature': 24.25, 'humidity': 75.25, 'co2': 862, 'ch4': 8, 'pressure': 992, 'light': 843}
📡 [2026-04-18T03:29:02.364426] Published: {'temperature': 26.43, 'humidity': 88.23, 'co2': 532, 'ch4': 2, 'pressure': 1006, 'light': 931}
📡 [2026-04-18T03:29:07.365213] Published: {'temperature': 26.78, 'humidity': 81.95, 'co2': 1032, 'ch4': 15, 'pressure': 1022, 'light': 592}
📡 [2026-04-18T03:29:12.365757] Published: {'temperature': 25.0, 'humidity': 82.88, 'co2': 375, 'ch4': 11, 'pressure': 995, 'light': 776}
📡 [2026-04-18T03:29:17.367116] Published: {'temperature': 25.7, 'humidity': 72.1, 'co2': 816, 'ch4': 10, 'pressure': 994, 'light': 428}
📡 [2026-04-18T03:29:22.368858] Published: {'temperature': 29.69, 'humidity': 55.29, 'co2': 516, 'ch4': 2, 'pressure': 1004, 'light': 106}
📡 [2026-04-18T03:29:27.370107] Published: {'temperature': 24.43, 'humidity': 52.9, 'co2': 395, 'ch4': 14, 'pressure': 1020, 'light': 282}
📡 [2026-04-18T03:29:32.371502] Published: {'temperature': 24.92, 'humidity': 50.15, 'co2': 1000, 'ch4': 5, 'pressure': 995, 'light': 650}
📡 [2026-04-18T03:29:37.372682] Published: {'temperature': 25.67, 'humidity': 53.83, 'co2': 752, 'ch4': 14, 'pressure': 1021, 'light': 661}
📡 [2026-04-18T03:29:42.374746] Published: {'temperature': 25.68, 'humidity': 69.38, 'co2': 542, 'ch4': 13, 'pressure': 1006, 'light': 653}
📡 [2026-04-18T03:29:47.375970] Published: {'temperature': 27.74, 'humidity': 76.55, 'co2': 741, 'ch4': 7, 'pressure': 994, 'light': 950}
📡 [2026-04-18T03:29:52.377340] Published: {'temperature': 26.66, 'humidity': 88.38, 'co2': 1046, 'ch4': 2, 'pressure': 1018, 'light': 791}
📡 [2026-04-18T03:29:57.378440] Published: {'temperature': 25.74, 'humidity': 79.85, 'co2': 587, 'ch4': 1, 'pressure': 993, 'light': 441}
📡 [2026-04-18T03:30:02.379385] Published: {'temperature': 25.18, 'humidity': 72.53, 'co2': 1030, 'ch4': 5, 'pressure': 1013, 'light': 234}
📡 [2026-04-18T03:30:07.380272] Published: {'temperature': 28.35, 'humidity': 67.21, 'co2': 704, 'ch4': 13, 'pressure': 1025, 'light': 845}
📡 [2026-04-18T03:30:12.380715] Published: {'temperature': 28.88, 'humidity': 59.12, 'co2': 564, 'ch4': 12, 'pressure': 1004, 'light': 888}
📡 [2026-04-18T03:30:17.381321] Published: {'temperature': 25.77, 'humidity': 87.88, 'co2': 1076, 'ch4': 11, 'pressure': 993, 'light': 432}
📡 [2026-04-18T03:30:22.382103] Published: {'temperature': 25.44, 'humidity': 56.22, 'co2': 707, 'ch4': 14, 'pressure': 995, 'light': 109}
📡 [2026-04-18T03:30:27.382635] Published: {'temperature': 27.69, 'humidity': 66.68, 'co2': 1086, 'ch4': 4, 'pressure': 1015, 'light': 393}
📡 [2026-04-18T03:30:32.383107] Published: {'temperature': 29.36, 'humidity': 66.91, 'co2': 599, 'ch4': 13, 'pressure': 1019, 'light': 714}
📡 [2026-04-18T03:30:37.383467] Published: {'temperature': 24.38, 'humidity': 82.39, 'co2': 885, 'ch4': 5, 'pressure': 1013, 'light': 866}
📡 [2026-04-18T03:30:42.383944] Published: {'temperature': 26.92, 'humidity': 81.0, 'co2': 793, 'ch4': 4, 'pressure': 995, 'light': 472}
📡 [2026-04-18T03:30:47.384276] Published: {'temperature': 27.25, 'humidity': 66.34, 'co2': 754, 'ch4': 5, 'pressure': 994, 'light': 292}
📡 [2026-04-18T03:30:52.385220] Published: {'temperature': 25.74, 'humidity': 62.71, 'co2': 1053, 'ch4': 11, 'pressure': 991, 'light': 825}
📡 [2026-04-18T03:30:57.385891] Published: {'temperature': 28.79, 'humidity': 63.74, 'co2': 937, 'ch4': 3, 'pressure': 1020, 'light': 811}
📡 [2026-04-18T03:31:02.386556] Published: {'temperature': 27.23, 'humidity': 89.67, 'co2': 914, 'ch4': 15, 'pressure': 1015, 'light': 854}
📡 [2026-04-18T03:31:07.387285] Published: {'temperature': 29.19, 'humidity': 68.0, 'co2': 796, 'ch4': 4, 'pressure': 1002, 'light': 704}
📡 [2026-04-18T03:31:12.388101] Published: {'temperature': 24.44, 'humidity': 81.51, 'co2': 391, 'ch4': 14, 'pressure': 1023, 'light': 303}
📡 [2026-04-18T03:31:17.388541] Published: {'temperature': 26.27, 'humidity': 82.45, 'co2': 674, 'ch4': 9, 'pressure': 1004, 'light': 985}
📡 [2026-04-18T03:31:22.389047] Published: {'temperature': 25.14, 'humidity': 63.54, 'co2': 926, 'ch4': 7, 'pressure': 1002, 'light': 310}
📡 [2026-04-18T03:31:27.389874] Published: {'temperature': 29.29, 'humidity': 78.12, 'co2': 707, 'ch4': 6, 'pressure': 1019, 'light': 841}
📡 [2026-04-18T03:31:32.390505] Published: {'temperature': 27.43, 'humidity': 87.05, 'co2': 1039, 'ch4': 3, 'pressure': 1018, 'light': 809}
📡 [2026-04-18T03:31:37.391301] Published: {'temperature': 25.72, 'humidity': 51.64, 'co2': 823, 'ch4': 9, 'pressure': 1013, 'light': 395}
📡 [2026-04-18T03:31:42.392085] Published: {'temperature': 29.52, 'humidity': 52.72, 'co2': 1087, 'ch4': 13, 'pressure': 1022, 'light': 250}
📡 [2026-04-18T03:31:47.392961] Published: {'temperature': 27.75, 'humidity': 73.09, 'co2': 781, 'ch4': 3, 'pressure': 1007, 'light': 440}
📡 [2026-04-18T03:31:52.393789] Published: {'temperature': 25.98, 'humidity': 75.17, 'co2': 867, 'ch4': 8, 'pressure': 1019, 'light': 559}
📡 [2026-04-18T03:31:57.394665] Published: {'temperature': 28.81, 'humidity': 75.99, 'co2': 597, 'ch4': 12, 'pressure': 1025, 'light': 420}
📡 [2026-04-18T03:32:02.395402] Published: {'temperature': 26.9, 'humidity': 75.52, 'co2': 765, 'ch4': 14, 'pressure': 1019, 'light': 291}
📡 [2026-04-18T03:32:07.396387] Published: {'temperature': 27.86, 'humidity': 72.33, 'co2': 922, 'ch4': 2, 'pressure': 1017, 'light': 710}
📡 [2026-04-18T03:32:12.397048] Published: {'temperature': 29.95, 'humidity': 52.02, 'co2': 569, 'ch4': 10, 'pressure': 1016, 'light': 624}
📡 [2026-04-18T03:32:17.397793] Published: {'temperature': 28.48, 'humidity': 88.02, 'co2': 461, 'ch4': 9, 'pressure': 1007, 'light': 529}
📡 [2026-04-18T03:32:22.398474] Published: {'temperature': 28.11, 'humidity': 66.95, 'co2': 814, 'ch4': 14, 'pressure': 999, 'light': 838}
📡 [2026-04-18T03:32:27.399512] Published: {'temperature': 26.18, 'humidity': 74.55, 'co2': 1064, 'ch4': 12, 'pressure': 996, 'light': 575}
📡 [2026-04-18T03:32:32.400240] Published: {'temperature': 25.35, 'humidity': 69.51, 'co2': 720, 'ch4': 15, 'pressure': 999, 'light': 229}
📡 [2026-04-18T03:32:37.400928] Published: {'temperature': 25.79, 'humidity': 66.08, 'co2': 655, 'ch4': 5, 'pressure': 1022, 'light': 963}
📡 [2026-04-18T03:32:42.401259] Published: {'temperature': 27.39, 'humidity': 77.53, 'co2': 946, 'ch4': 14, 'pressure': 1025, 'light': 355}
📡 [2026-04-18T03:32:47.401873] Published: {'temperature': 27.73, 'humidity': 57.46, 'co2': 933, 'ch4': 15, 'pressure': 1007, 'light': 323}
📡 [2026-04-18T03:32:52.402215] Published: {'temperature': 25.68, 'humidity': 55.47, 'co2': 542, 'ch4': 4, 'pressure': 1002, 'light': 606}
📡 [2026-04-18T03:32:57.403422] Published: {'temperature': 28.4, 'humidity': 63.13, 'co2': 1097, 'ch4': 15, 'pressure': 1019, 'light': 135}
📡 [2026-04-18T03:33:02.404485] Published: {'temperature': 26.07, 'humidity': 78.05, 'co2': 1020, 'ch4': 10, 'pressure': 1020, 'light': 275}
📡 [2026-04-18T03:33:07.405094] Published: {'temperature': 25.35, 'humidity': 80.87, 'co2': 662, 'ch4': 10, 'pressure': 1002, 'light': 558}
📡 [2026-04-18T03:33:12.406251] Published: {'temperature': 26.31, 'humidity': 74.48, 'co2': 835, 'ch4': 3, 'pressure': 993, 'light': 186}
📡 [2026-04-18T03:33:17.407764] Published: {'temperature': 26.53, 'humidity': 51.2, 'co2': 401, 'ch4': 8, 'pressure': 996, 'light': 319}
📡 [2026-04-18T03:33:22.409076] Published: {'temperature': 27.66, 'humidity': 85.85, 'co2': 898, 'ch4': 5, 'pressure': 996, 'light': 150}
📡 [2026-04-18T03:33:27.410134] Published: {'temperature': 27.19, 'humidity': 88.04, 'co2': 886, 'ch4': 1, 'pressure': 1002, 'light': 669}
📡 [2026-04-18T03:33:32.411185] Published: {'temperature': 25.17, 'humidity': 52.74, 'co2': 710, 'ch4': 13, 'pressure': 1008, 'light': 496}
📡 [2026-04-18T03:33:37.412201] Published: {'temperature': 26.47, 'humidity': 65.87, 'co2': 818, 'ch4': 11, 'pressure': 1007, 'light': 854}
📡 [2026-04-18T03:33:42.413598] Published: {'temperature': 27.18, 'humidity': 82.55, 'co2': 764, 'ch4': 7, 'pressure': 1019, 'light': 246}
📡 [2026-04-18T03:33:47.415327] Published: {'temperature': 24.64, 'humidity': 64.19, 'co2': 976, 'ch4': 9, 'pressure': 1014, 'light': 727}
📡 [2026-04-18T03:33:52.416631] Published: {'temperature': 25.97, 'humidity': 52.98, 'co2': 592, 'ch4': 5, 'pressure': 1017, 'light': 994}
📡 [2026-04-18T03:33:57.417750] Published: {'temperature': 24.45, 'humidity': 76.23, 'co2': 685, 'ch4': 3, 'pressure': 1001, 'light': 702}
📡 [2026-04-18T03:34:02.418205] Published: {'temperature': 27.59, 'humidity': 84.22, 'co2': 394, 'ch4': 7, 'pressure': 997, 'light': 442}
📡 [2026-04-18T03:34:07.419068] Published: {'temperature': 28.28, 'humidity': 64.68, 'co2': 1031, 'ch4': 11, 'pressure': 1010, 'light': 144}
📡 [2026-04-18T03:34:12.419986] Published: {'temperature': 24.96, 'humidity': 54.86, 'co2': 818, 'ch4': 11, 'pressure': 1009, 'light': 481}
📡 [2026-04-18T03:34:17.421207] Published: {'temperature': 26.61, 'humidity': 67.65, 'co2': 1058, 'ch4': 4, 'pressure': 1002, 'light': 603}
📡 [2026-04-18T03:34:22.422062] Published: {'temperature': 25.81, 'humidity': 51.8, 'co2': 972, 'ch4': 4, 'pressure': 1017, 'light': 862}
📡 [2026-04-18T03:34:27.423139] Published: {'temperature': 26.53, 'humidity': 81.63, 'co2': 598, 'ch4': 4, 'pressure': 997, 'light': 989}
📡 [2026-04-18T03:34:32.426206] Published: {'temperature': 27.44, 'humidity': 86.44, 'co2': 669, 'ch4': 11, 'pressure': 1013, 'light': 470}
📡 [2026-04-18T03:34:37.426822] Published: {'temperature': 27.59, 'humidity': 67.95, 'co2': 784, 'ch4': 11, 'pressure': 1004, 'light': 110}
📡 [2026-04-18T03:34:42.427901] Published: {'temperature': 25.68, 'humidity': 83.04, 'co2': 477, 'ch4': 10, 'pressure': 1014, 'light': 802}
📡 [2026-04-18T03:34:47.429378] Published: {'temperature': 24.24, 'humidity': 54.06, 'co2': 985, 'ch4': 2, 'pressure': 1014, 'light': 772}
📡 [2026-04-18T03:34:52.430240] Published: {'temperature': 27.28, 'humidity': 84.97, 'co2': 757, 'ch4': 8, 'pressure': 1002, 'light': 211}
📡 [2026-04-18T03:34:57.431188] Published: {'temperature': 24.77, 'humidity': 50.31, 'co2': 685, 'ch4': 4, 'pressure': 1025, 'light': 309}
📡 [2026-04-18T03:35:02.432421] Published: {'temperature': 25.93, 'humidity': 72.29, 'co2': 407, 'ch4': 4, 'pressure': 1021, 'light': 605}
📡 [2026-04-18T03:35:07.434326] Published: {'temperature': 27.32, 'humidity': 58.37, 'co2': 1044, 'ch4': 9, 'pressure': 995, 'light': 254}
📡 [2026-04-18T03:35:12.434977] Published: {'temperature': 27.98, 'humidity': 88.93, 'co2': 834, 'ch4': 6, 'pressure': 1019, 'light': 560}
📡 [2026-04-18T03:35:17.435791] Published: {'temperature': 29.77, 'humidity': 53.84, 'co2': 978, 'ch4': 13, 'pressure': 1016, 'light': 336}
📡 [2026-04-18T03:35:22.436291] Published: {'temperature': 27.71, 'humidity': 81.09, 'co2': 780, 'ch4': 1, 'pressure': 1012, 'light': 864}
📡 [2026-04-18T03:35:27.436946] Published: {'temperature': 26.04, 'humidity': 72.72, 'co2': 606, 'ch4': 12, 'pressure': 1011, 'light': 829}
📡 [2026-04-18T03:35:32.437660] Published: {'temperature': 25.16, 'humidity': 61.7, 'co2': 1013, 'ch4': 5, 'pressure': 1025, 'light': 223}
📡 [2026-04-18T03:35:37.439074] Published: {'temperature': 27.92, 'humidity': 77.46, 'co2': 992, 'ch4': 1, 'pressure': 1003, 'light': 836}
📡 [2026-04-18T03:35:42.439575] Published: {'temperature': 25.18, 'humidity': 76.95, 'co2': 499, 'ch4': 7, 'pressure': 1021, 'light': 982}
📡 [2026-04-18T03:35:47.440116] Published: {'temperature': 28.66, 'humidity': 53.88, 'co2': 894, 'ch4': 3, 'pressure': 1008, 'light': 739}
📡 [2026-04-18T03:35:52.440886] Published: {'temperature': 28.61, 'humidity': 51.61, 'co2': 924, 'ch4': 14, 'pressure': 994, 'light': 903}
📡 [2026-04-18T03:35:57.441829] Published: {'temperature': 25.01, 'humidity': 50.06, 'co2': 908, 'ch4': 9, 'pressure': 993, 'light': 277}
📡 [2026-04-18T03:36:02.442918] Published: {'temperature': 28.23, 'humidity': 80.57, 'co2': 1070, 'ch4': 5, 'pressure': 1005, 'light': 476}
📡 [2026-04-18T03:36:07.443663] Published: {'temperature': 27.15, 'humidity': 75.78, 'co2': 423, 'ch4': 9, 'pressure': 996, 'light': 948}
📡 [2026-04-18T03:36:12.445194] Published: {'temperature': 26.29, 'humidity': 68.9, 'co2': 849, 'ch4': 4, 'pressure': 1015, 'light': 757}
📡 [2026-04-18T03:36:17.445696] Published: {'temperature': 27.02, 'humidity': 80.67, 'co2': 604, 'ch4': 3, 'pressure': 995, 'light': 518}
📡 [2026-04-18T03:36:22.446265] Published: {'temperature': 26.26, 'humidity': 83.92, 'co2': 476, 'ch4': 4, 'pressure': 1010, 'light': 811}
📡 [2026-04-18T03:36:27.446777] Published: {'temperature': 27.55, 'humidity': 64.65, 'co2': 604, 'ch4': 9, 'pressure': 1016, 'light': 694}
📡 [2026-04-18T03:36:32.447312] Published: {'temperature': 29.38, 'humidity': 87.98, 'co2': 360, 'ch4': 5, 'pressure': 994, 'light': 743}
📡 [2026-04-18T03:36:37.448737] Published: {'temperature': 29.12, 'humidity': 50.37, 'co2': 973, 'ch4': 4, 'pressure': 1004, 'light': 662}
📡 [2026-04-18T03:36:42.449281] Published: {'temperature': 26.73, 'humidity': 56.63, 'co2': 736, 'ch4': 1, 'pressure': 1025, 'light': 278}
📡 [2026-04-18T03:36:47.450083] Published: {'temperature': 28.55, 'humidity': 57.97, 'co2': 1040, 'ch4': 10, 'pressure': 994, 'light': 419}
📡 [2026-04-18T03:36:52.451379] Published: {'temperature': 25.28, 'humidity': 57.51, 'co2': 485, 'ch4': 10, 'pressure': 1004, 'light': 320}
📡 [2026-04-18T03:36:57.452994] Published: {'temperature': 25.54, 'humidity': 55.61, 'co2': 1020, 'ch4': 1, 'pressure': 999, 'light': 859}
📡 [2026-04-18T03:37:02.453436] Published: {'temperature': 25.55, 'humidity': 78.75, 'co2': 387, 'ch4': 8, 'pressure': 1004, 'light': 693}
📡 [2026-04-18T03:37:07.454457] Published: {'temperature': 28.17, 'humidity': 66.65, 'co2': 1094, 'ch4': 7, 'pressure': 1022, 'light': 973}
📡 [2026-04-18T03:37:12.456026] Published: {'temperature': 25.68, 'humidity': 79.9, 'co2': 780, 'ch4': 2, 'pressure': 1002, 'light': 627}
📡 [2026-04-18T03:37:17.456814] Published: {'temperature': 26.97, 'humidity': 83.63, 'co2': 1017, 'ch4': 6, 'pressure': 994, 'light': 736}
📡 [2026-04-18T03:37:22.458193] Published: {'temperature': 27.4, 'humidity': 80.43, 'co2': 398, 'ch4': 15, 'pressure': 1022, 'light': 156}
📡 [2026-04-18T03:37:27.458555] Published: {'temperature': 26.03, 'humidity': 70.02, 'co2': 615, 'ch4': 12, 'pressure': 1013, 'light': 584}
📡 [2026-04-18T03:37:32.459665] Published: {'temperature': 28.55, 'humidity': 66.72, 'co2': 564, 'ch4': 3, 'pressure': 1015, 'light': 117}
📡 [2026-04-18T03:37:37.461094] Published: {'temperature': 29.25, 'humidity': 58.79, 'co2': 616, 'ch4': 1, 'pressure': 1012, 'light': 839}
📡 [2026-04-18T03:37:42.462522] Published: {'temperature': 26.12, 'humidity': 73.97, 'co2': 687, 'ch4': 7, 'pressure': 1019, 'light': 470}
📡 [2026-04-18T03:37:47.463134] Published: {'temperature': 28.88, 'humidity': 64.14, 'co2': 588, 'ch4': 5, 'pressure': 997, 'light': 185}
📡 [2026-04-18T03:37:52.463700] Published: {'temperature': 29.9, 'humidity': 56.59, 'co2': 934, 'ch4': 5, 'pressure': 992, 'light': 296}
📡 [2026-04-18T03:37:57.464737] Published: {'temperature': 26.62, 'humidity': 77.75, 'co2': 999, 'ch4': 8, 'pressure': 1000, 'light': 384}
📡 [2026-04-18T03:38:02.465309] Published: {'temperature': 27.5, 'humidity': 64.89, 'co2': 708, 'ch4': 3, 'pressure': 1001, 'light': 307}
📡 [2026-04-18T03:38:07.465971] Published: {'temperature': 29.96, 'humidity': 79.92, 'co2': 573, 'ch4': 4, 'pressure': 1018, 'light': 415}
📡 [2026-04-18T03:38:12.466502] Published: {'temperature': 24.25, 'humidity': 80.12, 'co2': 369, 'ch4': 10, 'pressure': 1025, 'light': 929}
📡 [2026-04-18T03:38:17.467043] Published: {'temperature': 27.55, 'humidity': 69.33, 'co2': 793, 'ch4': 8, 'pressure': 998, 'light': 699}
📡 [2026-04-18T03:38:22.467580] Published: {'temperature': 29.49, 'humidity': 54.07, 'co2': 913, 'ch4': 4, 'pressure': 1024, 'light': 667}
📡 [2026-04-18T03:38:27.468069] Published: {'temperature': 26.77, 'humidity': 77.55, 'co2': 666, 'ch4': 3, 'pressure': 999, 'light': 875}
📡 [2026-04-18T03:38:32.469159] Published: {'temperature': 24.9, 'humidity': 67.75, 'co2': 613, 'ch4': 4, 'pressure': 1004, 'light': 329}
📡 [2026-04-18T03:38:37.470100] Published: {'temperature': 28.71, 'humidity': 88.09, 'co2': 985, 'ch4': 2, 'pressure': 1001, 'light': 613}
📡 [2026-04-18T03:38:42.471117] Published: {'temperature': 26.32, 'humidity': 60.43, 'co2': 992, 'ch4': 9, 'pressure': 1004, 'light': 837}
📡 [2026-04-18T03:38:47.472568] Published: {'temperature': 26.72, 'humidity': 85.66, 'co2': 405, 'ch4': 6, 'pressure': 1012, 'light': 782}
📡 [2026-04-18T03:38:52.473465] Published: {'temperature': 29.15, 'humidity': 86.7, 'co2': 812, 'ch4': 5, 'pressure': 1004, 'light': 279}
📡 [2026-04-18T03:38:57.474579] Published: {'temperature': 25.61, 'humidity': 54.69, 'co2': 1061, 'ch4': 9, 'pressure': 1010, 'light': 190}
📡 [2026-04-18T03:39:02.475033] Published: {'temperature': 26.06, 'humidity': 59.36, 'co2': 1043, 'ch4': 8, 'pressure': 998, 'light': 539}
📡 [2026-04-18T03:39:07.475521] Published: {'temperature': 27.38, 'humidity': 62.11, 'co2': 921, 'ch4': 13, 'pressure': 999, 'light': 229}
📡 [2026-04-18T03:39:12.476331] Published: {'temperature': 24.56, 'humidity': 80.88, 'co2': 1077, 'ch4': 4, 'pressure': 1004, 'light': 337}
📡 [2026-04-18T03:39:17.477304] Published: {'temperature': 24.05, 'humidity': 55.75, 'co2': 1066, 'ch4': 10, 'pressure': 996, 'light': 132}
📡 [2026-04-18T03:39:22.478461] Published: {'temperature': 29.64, 'humidity': 75.47, 'co2': 784, 'ch4': 4, 'pressure': 995, 'light': 850}
📡 [2026-04-18T03:39:27.479143] Published: {'temperature': 29.94, 'humidity': 68.3, 'co2': 358, 'ch4': 6, 'pressure': 990, 'light': 981}
📡 [2026-04-18T03:39:32.480827] Published: {'temperature': 28.78, 'humidity': 74.72, 'co2': 621, 'ch4': 2, 'pressure': 994, 'light': 683}
📡 [2026-04-18T03:39:37.481467] Published: {'temperature': 26.53, 'humidity': 84.26, 'co2': 943, 'ch4': 2, 'pressure': 1000, 'light': 756}
📡 [2026-04-18T03:39:42.482967] Published: {'temperature': 29.67, 'humidity': 56.29, 'co2': 709, 'ch4': 2, 'pressure': 996, 'light': 794}
📡 [2026-04-18T03:39:47.483653] Published: {'temperature': 28.16, 'humidity': 54.66, 'co2': 1017, 'ch4': 12, 'pressure': 1016, 'light': 867}
📡 [2026-04-18T03:39:52.484838] Published: {'temperature': 29.56, 'humidity': 69.49, 'co2': 593, 'ch4': 8, 'pressure': 1020, 'light': 638}
📡 [2026-04-18T03:39:57.485686] Published: {'temperature': 29.27, 'humidity': 86.51, 'co2': 1065, 'ch4': 7, 'pressure': 1015, 'light': 954}
📡 [2026-04-18T03:40:02.486479] Published: {'temperature': 28.82, 'humidity': 62.71, 'co2': 975, 'ch4': 13, 'pressure': 1019, 'light': 895}
📡 [2026-04-18T03:40:07.487513] Published: {'temperature': 25.94, 'humidity': 72.79, 'co2': 640, 'ch4': 3, 'pressure': 994, 'light': 163}
📡 [2026-04-18T03:40:12.487915] Published: {'temperature': 27.71, 'humidity': 84.06, 'co2': 873, 'ch4': 2, 'pressure': 1004, 'light': 172}
📡 [2026-04-18T03:40:17.489274] Published: {'temperature': 29.51, 'humidity': 75.17, 'co2': 469, 'ch4': 11, 'pressure': 1000, 'light': 473}
📡 [2026-04-18T03:40:22.490654] Published: {'temperature': 25.09, 'humidity': 66.94, 'co2': 645, 'ch4': 1, 'pressure': 1013, 'light': 157}
📡 [2026-04-18T03:40:27.491105] Published: {'temperature': 24.65, 'humidity': 70.01, 'co2': 645, 'ch4': 13, 'pressure': 1020, 'light': 364}
📡 [2026-04-18T03:40:32.491492] Published: {'temperature': 24.27, 'humidity': 65.42, 'co2': 457, 'ch4': 7, 'pressure': 997, 'light': 332}
📡 [2026-04-18T03:40:37.492131] Published: {'temperature': 29.25, 'humidity': 85.0, 'co2': 448, 'ch4': 2, 'pressure': 997, 'light': 778}
📡 [2026-04-18T03:40:42.492525] Published: {'temperature': 26.93, 'humidity': 84.87, 'co2': 766, 'ch4': 12, 'pressure': 993, 'light': 531}
📡 [2026-04-18T03:40:47.493417] Published: {'temperature': 24.75, 'humidity': 83.04, 'co2': 522, 'ch4': 10, 'pressure': 992, 'light': 746}
📡 [2026-04-18T03:40:52.494336] Published: {'temperature': 25.78, 'humidity': 72.59, 'co2': 1049, 'ch4': 7, 'pressure': 1011, 'light': 426}
📡 [2026-04-18T03:40:57.494894] Published: {'temperature': 29.83, 'humidity': 80.81, 'co2': 834, 'ch4': 10, 'pressure': 998, 'light': 366}
📡 [2026-04-18T03:41:02.496199] Published: {'temperature': 28.01, 'humidity': 78.28, 'co2': 666, 'ch4': 5, 'pressure': 1021, 'light': 291}
📡 [2026-04-18T03:41:07.497190] Published: {'temperature': 28.3, 'humidity': 51.02, 'co2': 1028, 'ch4': 6, 'pressure': 1022, 'light': 678}
📡 [2026-04-18T03:41:12.497678] Published: {'temperature': 28.04, 'humidity': 72.6, 'co2': 707, 'ch4': 8, 'pressure': 990, 'light': 954}
📡 [2026-04-18T03:41:17.498610] Published: {'temperature': 28.2, 'humidity': 63.95, 'co2': 559, 'ch4': 10, 'pressure': 998, 'light': 100}
📡 [2026-04-18T03:41:22.499535] Published: {'temperature': 28.86, 'humidity': 50.43, 'co2': 758, 'ch4': 7, 'pressure': 1023, 'light': 161}
📡 [2026-04-18T03:41:27.500963] Published: {'temperature': 27.22, 'humidity': 65.23, 'co2': 1002, 'ch4': 12, 'pressure': 1018, 'light': 163}
📡 [2026-04-18T03:41:32.501558] Published: {'temperature': 29.83, 'humidity': 88.42, 'co2': 986, 'ch4': 3, 'pressure': 1015, 'light': 330}
📡 [2026-04-18T03:41:37.502621] Published: {'temperature': 26.86, 'humidity': 81.89, 'co2': 1068, 'ch4': 6, 'pressure': 1000, 'light': 606}
📡 [2026-04-18T03:41:42.503787] Published: {'temperature': 27.0, 'humidity': 70.58, 'co2': 992, 'ch4': 15, 'pressure': 1009, 'light': 266}
📡 [2026-04-18T03:41:47.504490] Published: {'temperature': 28.3, 'humidity': 58.26, 'co2': 937, 'ch4': 14, 'pressure': 999, 'light': 148}
📡 [2026-04-18T03:41:52.505607] Published: {'temperature': 29.93, 'humidity': 70.89, 'co2': 907, 'ch4': 2, 'pressure': 1008, 'light': 936}
📡 [2026-04-18T03:41:57.506948] Published: {'temperature': 27.14, 'humidity': 81.45, 'co2': 943, 'ch4': 14, 'pressure': 999, 'light': 203}
📡 [2026-04-18T03:42:02.507465] Published: {'temperature': 29.31, 'humidity': 88.49, 'co2': 620, 'ch4': 15, 'pressure': 1023, 'light': 416}
📡 [2026-04-18T03:42:07.508016] Published: {'temperature': 24.14, 'humidity': 71.73, 'co2': 937, 'ch4': 15, 'pressure': 1018, 'light': 726}
📡 [2026-04-18T03:42:12.508648] Published: {'temperature': 26.42, 'humidity': 64.37, 'co2': 952, 'ch4': 11, 'pressure': 1014, 'light': 594}
📡 [2026-04-18T03:42:17.509257] Published: {'temperature': 24.55, 'humidity': 85.08, 'co2': 817, 'ch4': 13, 'pressure': 998, 'light': 421}
📡 [2026-04-18T03:42:22.510083] Published: {'temperature': 28.05, 'humidity': 58.82, 'co2': 590, 'ch4': 1, 'pressure': 998, 'light': 642}
📡 [2026-04-18T03:42:27.510570] Published: {'temperature': 25.61, 'humidity': 84.24, 'co2': 516, 'ch4': 8, 'pressure': 1004, 'light': 532}
📡 [2026-04-18T03:42:32.511770] Published: {'temperature': 25.83, 'humidity': 50.73, 'co2': 660, 'ch4': 9, 'pressure': 1009, 'light': 627}
📡 [2026-04-18T03:42:37.513236] Published: {'temperature': 28.36, 'humidity': 59.73, 'co2': 770, 'ch4': 7, 'pressure': 1010, 'light': 181}
📡 [2026-04-18T03:42:42.514328] Published: {'temperature': 27.2, 'humidity': 76.51, 'co2': 525, 'ch4': 13, 'pressure': 1010, 'light': 209}
📡 [2026-04-18T03:42:47.515429] Published: {'temperature': 25.46, 'humidity': 66.89, 'co2': 775, 'ch4': 4, 'pressure': 996, 'light': 160}
📡 [2026-04-18T03:42:52.515810] Published: {'temperature': 27.26, 'humidity': 55.72, 'co2': 594, 'ch4': 4, 'pressure': 1011, 'light': 248}
